2026-09-20-10-46-49.fit***#exceed***Albstadt-Marathon 2026***87,29***2020***04:53:21***17,9
2026-09-17-15-36-02.fit***#terra***GravelExcellence-R***42,02***974***02:04:51***20,2***FALSE
2026-09-10-15-07-36.fit***#terra***#Albschotter L3n4-Gedächtnis-Runde***60,07***1411***03:08:31***19,1***FALSE
2026-08-29-09-59-00.fit***#terra***Burg Hohenzollern***88,01***1226***03:48:34***23,1***FALSE
2026-08-23-14-28-24.fit***#terra***Regeneration Sonntag***24,42***174***00:57:42***25,4***FALSE
2026-08-22-09-18-40.fit***#exceed***KINZIGTAL GRAVEL RIDE 2026***91,31***2183***04:50:31***18,9***TRUE
2026-08-20-17-32-04.fit***#terra***Regeneration (Wutanfall-R4mOn4)***23,8***421***01:07:13***21,2***FALSE
2026-08-16-09-29-16.fit***#exceed***#Albschotter Neuffen--LenningerTal--Breitenstein 2k***86,12***2034***04:43:23***18,2***FALSE
2026-08-10-17-42-39.fit***#exceed***Abendrunde Achalm***27,04***678***01:32:14***17,6***FALSE
2026-08-07-15-50-51.fit***#terra***Freitagnachmittags-Sommer-Gravel***50,82***1026***02:26:04***20,9***FALSE
2026-08-04-18-28-00.fit***#terra***GravelExcellence Abendrunde***42,44***928***02:13:28***19,1***FALSE
2026-07-26-14-24-00.fit***#exceed***Hausrunde Bianca Legnini***20,39***313***01:29:57***13,6***FALSE
2026-07-25-07-00-00.fit***#terra***#Albschotter L3n4-Ramona-Mannheim Platten***61,01***1401***03:08:32***19,4***FALSE
2026-07-21-16-39-28.fit***#terra***40 für Juli-200 Kunstmühlefels***40,2***521***01:51:43***21,6***FALSE
2026-07-20-16-46-27.fit***#terra***RegenerationSchlafmangel***23,51***352***00:58:20***24,2***FALSE
2026-07-18-08-46-13.fit***#terra***Metzingen Standard***25,73***506***01:05:33***23,5***FALSE
2026-07-12-16-50-30.fit***#exceed***Sonntagabendrunde 20Uhr #exceed***52,91***1266***02:59:20***17,7***FALSE
2026-07-11-10-54-05.fit***#terra***GravelExcellence***43,8***1013***02:19:25***18,8***FALSE
2026-07-11-10-35-44.fit***#terra***GravelExcellence Anfahrt/Irrfahrt***5,91***98***00:17:31***20,2***FALSE
2026-07-07-16-42-22.fit***#terra***Metzingen--Tübingen--Metzingen***43,85***212***01:35:35***27,5***FALSE
2026-07-05-15-25-07.fit***#terra***Regenfahrt Neuffen Video-SCHIENBEINBLUTSTURZ***26,76***524***01:24:45***18,9***FALSE
2026-06-21-07-56-12.fit***#exceed***Sommermorgenrunde 35°C***53,18***1202***02:48:58***18,9***FALSE
2026-06-14-13-58-37.fit***#exceed***#Albschotter Exceed 60km-1400hm***60,27***1424***03:04:02***19,6***FALSE
2026-06-08-15-15-40.fit***#terra***GravelExcellence***39,76***912***02:00:51***19,7***FALSE
2026-06-07-11-05-14.fit***#terra***Joggen m. Ramoni --Rückfahrt***6,38***60***00:16:37***23,1***FALSE
2026-06-07-07-50-41.fit***#terra***Joggen m. Ramoni --Joggen***17,03***106***01:42:42***10***FALSE
2026-06-07-07-22-12.fit***#terra***Joggen m. Ramoni --Hinfahrt***6,35***50***00:17:09***22,2***FALSE
2026-06-01-14-43-55.fit***#exceed***Kunstmühlefels +Trails +JPG***41,18***540***01:48:40***22,7***FALSE
2026-05-30-06-54-47.fit***#exceed***DAV Bad Urach--Münsingen--Lautertal--Obermarchtal #XCM 120km***127,01***1350***06:25:35***19,8***FALSE
2026-05-27-08-51-17.fit***#exceed***ACHALM--Floriansberg-Hofbühl 1k***39,37***1003***02:10:14***18,1***FALSE
2026-05-24-14-24-22.fit***#exceed***Sommer30Grad <Abbruch>***20,34***423***01:04:04***19,1***FALSE
2026-05-21-14-39-53.fit***#terra***EndlichSommerYeah #SchwalbeG-OneR***54,19***1301***02:57:38***18,3***FALSE
2026-05-17-15-19-14.fit***#terra***AroundHome 1.2k***50,6***1226***02:31:16***20,1***FALSE
2026-05-14-14-47-10.fit***#terra***Standard v3.0***33,25***815***01:39:30***20,1***FALSE
2026-05-09-16-46-25.fit***#terra***nixMotivation <Abbruch>***7,16***106***00:22:26***19,1***FALSE
2026-05-03-14-50-48.fit***#exceed***ACHALM--Floriansberg-Hofbühl 1k***38,64***1002***02:14:51***17,2***FALSE
2026-05-02-07-26-02.fit***#exceed***Mittelstadt Joggen m. Ramoni 21k+***38,36***333***03:41:59***10,4***FALSE
2026-04-30-16-33-15.fit***#terra***April für 7000hm++***19,81***354***00:57:58***20,5***FALSE
2026-04-28-15-13-13.fit***#terra***April 1200er Asphaltsteigen***42,86***1251***02:22:04***18,1***FALSE
2026-04-23-14-25-38.fit***#terra***April 1000er Olgafels-TerraHolterdipolter***42,25***1012***02:20:28***18***FALSE
2026-04-18-14-23-15.fit***#terra***April Sonne 800er***35,6***813***01:51:29***19,2***FALSE
2026-04-16-14-11-59.fit***#terra***Leinfelden-Echterdingen @SPEICK***55,92***701***02:36:14***21,5***FALSE
2026-04-15-11-46-06.fit***#terra***Nürtingen Rezept@Hoersch***33,91***472***01:30:31***22,5***FALSE
2026-04-09-14-21-12.fit***#terra***April 900er ~reversed~***38,61***972***02:10:13***17,8***FALSE
2026-04-07-14-06-24.fit***#terra***April 900er***38,12***964***02:13:35***17,1***FALSE
2026-04-06-15-27-33.fit***#terra***Metzingen--Bad Urach--Metzingen***24,42***179***00:55:02***26,6***FALSE
2026-04-03-14-34-26.fit***#terra***Diakonie Reutlingen Planie17***23,25***303***01:01:48***22,6***FALSE
2026-03-29-13-14-23.fit***#terra***Metzingen Standard***23,51***541***01:16:25***18,5***FALSE
